major_group,sub_major_group,minor_group,unit_group,profesion,skills_keywords
1 - Managers,Dirección general,,,Director general / CEO,Estrategia; P&L; Liderazgo; Finanzas; OKRs; Negociación; Planificación; Gestión de riesgos; Análisis de datos; Toma de decisiones; Stakeholders; Transformación digital; Gobierno corporativo; KPIs; Crecimiento
1 - Managers,Administración y finanzas,,,Gerente de finanzas / CFO,Plan financiero; Tesorería; Forecast; Presupuestos; Costos; Auditoría; IFRS; Modelización financiera; Capital de trabajo; Riesgos; Impuestos; BI; KPIs; Cash flow; Análisis de rentabilidad
1 - Managers,Operaciones,,,Gerente de operaciones / COO,Procesos; Lean; Six Sigma; Logística; Supply Chain; KPIs; Automatización; Calidad; Capacidad productiva; Plan maestro; S&OP; Mejora continua; Costos; Indicadores; Dashboards
1 - Managers,Tecnología,,,CTO / Gerente de TI,Arquitectura; Cloud; Seguridad; DevOps; CI/CD; Agile; Scrum; Roadmap; API; Data; Integraciones; Observabilidad; Gestión de proveedores; Capacidad; Cost optimization
1 - Managers,Marketing,,,CMO / Gerente de Marketing,Estrategia; Branding; SEO; SEM; Analytics; Contenido; CRM; Funnels; CRO; Email marketing; Redes sociales; Paid media; PR; Investigación de mercado; Go-to-market
1 - Managers,Ventas,,,Gerente de Ventas,Pipeline; Prospección; CRM; Forecast; Negociación; KAM; Territorios; Cotizaciones; Precios; Onboarding; OKRs; Presentaciones; Postventa; Fidelización; KPIs
1 - Managers,RRHH,,,Gerente de RRHH,Reclutamiento; Onboarding; Capacitación; Evaluación de desempeño; Clima; Compensaciones; Beneficios; Legislación laboral; Comunicaciones internas; Relaciones laborales; Planes de carrera; Cultura; Planes de sucesión; People Analytics; ATS
1 - Managers,Producto,,,Gerente de Producto / PM,Discovery; Roadmap; Backlog; User stories; Prioritización; OKRs; Métricas; A/B testing; Analytics; Design thinking; Go-to-market; Monetización; Feedback; Stakeholders; Sprint planning
1 - Managers,Proyecto,,,Project Manager / PMO,Alcance; Cronograma; Riesgos; Costos; Recursos; Stakeholders; PMBOK; Scrum; Kanban; Reportes; Lecciones aprendidas; Contratos; Procurement; Calidad; Change management
1 - Managers,Atención al cliente,,,Gerente de CX/Soporte,SLA; NPS; CSAT; Ticketing; Knowledge base; Workforce management; Omnicanalidad; Automatización; Playbooks; Escalamiento; Formación; Macros; Encuestas; QA; Dashboards
1 - Managers,Logística,,,Gerente de Logística / Supply Chain,Planificación; Inventarios; WMS; TMS; MRP; 3PL; OTIF; Incoterms; Costos; Rutas; Cross-docking; Almacenes; Demand planning; S&OP; Indicadores
1 - Managers,Construcción,,,Gerente de obra,Plan de obra; Curva S; Subcontratos; Seguridad e higiene; Costos; Procura; Programación; Control de calidad; BIM; Relevamientos; Topografía; Logística; Permisos; Actas; Recepción
1 - Managers,Comercial / Retail,,,Gerente de tienda / retail,Merchandising; Layout; Inventario; Staffing; Ventas; Promociones; KPIs; Mermas; Experiencia cliente; Caja; Turnos; Reportes; Planogramas; Ecommerce O2O; Reclamos
1 - Managers,Turismo / Hotelería,,,Gerente de hotel,Revenue management; Channel manager; OTA; Experiencia huésped; Operación; Eventos; Food & Beverage; Reservas; Recepción; Housekeeping; Mantenimiento; Calidad; Seguridad; Marketing; Reputación online
